community,pct_pos,pct_neu,pct_neg,pct_na,n
17.0,1.0,0.0,0.0,0.0,1
7.0,0.2857142857142857,0.4642857142857143,0.25,0.0,28
32.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,7
4.0,0.1256544502617801,0.6858638743455497,0.18848167539267016,0.0,191
24.0,0.125,0.625,0.25,0.0,8
29.0,0.11946902654867257,0.5619469026548672,0.3185840707964602,0.0,226
27.0,0.1111111111111111,0.6262626262626263,0.26262626262626265,0.0,99
35.0,0.10638297872340426,0.7021276595744681,0.19148936170212766,0.0,47
15.0,0.09859154929577464,0.6197183098591549,0.28169014084507044,0.0,71
5.0,0.09259259259259259,0.6666666666666666,0.24074074074074073,0.0,54
26.0,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.0,11
2.0,0.08839779005524862,0.7071823204419889,0.20441988950276244,0.0,1448
30.0,0.07967032967032966,0.6456043956043956,0.27472527472527475,0.0,364
8.0,0.07142857142857142,0.4523809523809524,0.47619047619047616,0.0,42
0.0,0.06060606060606061,0.6363636363636364,0.30303030303030304,0.0,165
12.0,0.056179775280898875,0.7078651685393258,0.23595505617977527,0.0,89
9.0,0.05,0.8,0.15,0.0,40
28.0,0.047619047619047616,0.746031746031746,0.20634920634920634,0.0,63
23.0,0.041666666666666664,0.7916666666666666,0.16666666666666666,0.0,24
3.0,0.027777777777777776,0.7916666666666666,0.18055555555555555,0.0,72
1.0,0.0,0.0,1.0,0.0,1
14.0,0.0,0.0,1.0,0.0,1
6.0,0.0,1.0,0.0,0.0,1
10.0,0.0,1.0,0.0,0.0,2
11.0,0.0,1.0,0.0,0.0,2
16.0,0.0,1.0,0.0,0.0,1
20.0,0.0,1.0,0.0,0.0,1
25.0,0.0,1.0,0.0,0.0,3
34.0,0.0,1.0,0.0,0.0,1
38.0,0.0,1.0,0.0,0.0,1
39.0,0.0,1.0,0.0,0.0,1
40.0,0.0,1.0,0.0,0.0,1
