topic,top_terms
0,"https co, https, co, traficogt https, co yagxhjwgbj, yagxhjwgbj, aqui, detalles, manfredoguate, manfredoguate traficogt, barevalodeleon https, justiciayagt traficogt, justiciayagt, rafa_mal0072, aqui https"
1,"barevalodeleon, traficogt barevalodeleon, barevalodeleon traficogt, grabo, ilegal, corrupto, barevalodeleon https, arevalo, barevalodeleon si, presidente, karinherreravp, legal, msemillagt, carlosrkestler, carlosrkestler traficogt"
2,"prensacomunitar, prensacomunitar traficogt, estan, traficogt prensacomunitar, nadie, acarreados, cuanto, guatemala, madre, netcenter, ahora, hacer, dios, alv, jajaja"
3,"solo, guatemala, corruptos, pueblo, ser, asi, presidente, estan, gobierno, mp, ahora, pais, cc, traficogt solo, pacto"
4,"lahoragt, lahoragt traficogt, mpguatemala, corruptos, ratas, menos, traficogt lahoragt, hace, traficogt menos, asco, pacto corruptos, arzu, cierto, traficogt mpguatemala, habran"
5,"mmendoza_gt, mmendoza_gt traficogt, traficogt mmendoza_gt, bloqueos, mmendoza_gt drgiammattei, traficogt malditos, jojosamgt mmendoza_gt, jojosamgt, malditos, traficogt guatemalagob, carlos_ruano_, vivo, guatemalagob, basuras, conapgt"
6,"si, traficogt si, pues, gente, va, barevalodeleon si, gratis, van, hacer, si gusta, gusta, puede, si si, vaya, ver"
7,"mas, traficogt mas, gracias, gente, cada, dice, aqui, bien, mas grande, debe, grande, cree, trabajo, aun, perro"
8,"drgiammattei, traficogt drgiammattei, mpguatemala, traficogt mpguatemala, drgiammattei https, jlfont001, jlfont001 traficogt, jczamora, jczamora traficogt, mpguatemala drgiammattei, luisvonahn, sonny_figueroa, luisvonahn drgiammattei, traficogt luisvonahn, vicentecarrera_"
9,"ricigt1, ricigt1 traficogt, cc_guatemala, traficogt cc_guatemala, mpguatemala, hshetemul, hshetemul traficogt, cc_guatemala https, factor4_gt, congresoguate, factor4_gt traficogt, cc, ricigt1 cc_guatemala, mp, monymmorales traficogt"
10,"agenciaocote, agenciaocote traficogt, traficogt davidck7, davidck7, _chrisguti, traficogt _chrisguti, mpguatemala, davidck7 _chrisguti, bien, asi, cuanto, traficogt mpguatemala, estan, van, jajaja"
11,"amilcarmontejo, amilcarmontejo traficogt, muniguate, zona, trafico, traficogt amilcarmontejo, calle, avenida, rquinonezl, https co, https, co, av, traficogt muniguate, gracias"
